TIME,Engine speed (RPM),IAT (Celsius),MAP (kPa),Calculated engine load (%),Oxygen sensor 1 (V),Oxygen sensor 1 (%),Throttle position (%)
1693755589.781879,1132.0,37,66,38.43137254901961,0.065,0.0,15.686274509803923
1693755591.251969,1356.0,38,70,40.0,0.2,0.0,19.607843137254903
1693755592.721352,2243.0,38,59,34.50980392156863,0.745,-2.34375,19.607843137254903
1693755594.191121,2976.0,38,30,17.647058823529413,0.055,0.0,8.627450980392158
1693755595.662317,1429.0,38,61,36.47058823529412,0.065,6.25,18.43137254901961
1693755597.102226,1855.0,38,30,17.647058823529413,0.89,-0.78125,8.627450980392158
1693755598.541471,1593.0,38,52,31.372549019607845,0.03,0.0,30.196078431372552
1693755600.011413,1276.0,38,48,20.3921568627451,0.885,-7.8125,8.627450980392158
1693755601.454027,1310.0,38,39,70.58823529411765,0.79,-14.84375,90.98039215686275
1693755602.951918,1401.0,39,94,70.98039215686275,0.03,-3.90625,90.98039215686275
1693755604.391382,1684.0,39,94,76.07843137254902,0.775,-0.78125,90.98039215686275
1693755605.831143,2035.0,39,94,75.68627450980392,0.44,7.03125,90.98039215686275
1693755607.301449,2353.0,38,94,76.07843137254902,0.06,12.5,90.98039215686275
1693755608.741251,2743.0,38,93,77.64705882352942,0.85,11.71875,90.98039215686275
1693755610.181729,3138.0,38,93,84.31372549019608,0.72,-1.5625,90.98039215686275
1693755611.591264,3503.0,38,94,89.41176470588236,0.625,-4.6875,90.98039215686275
1693755613.031709,3852.0,38,93,92.15686274509804,0.15,-2.34375,90.98039215686275
1693755614.471743,4202.0,37,93,94.90196078431373,0.115,1.5625,90.98039215686275
1693755615.941915,4557.0,37,92,94.90196078431373,0.905,0.0,90.98039215686275
1693755617.382379,4889.0,36,93,89.41176470588236,0.88,0.0,90.98039215686275
1693755618.851311,5190.0,36,93,86.66666666666667,0.895,0.0,90.98039215686275
1693755620.291301,5490.0,36,93,84.31372549019608,0.89,0.0,90.98039215686275
1693755621.73179,5765.0,36,92,84.31372549019608,0.885,0.0,90.98039215686275
1693755623.201153,6010.0,35,92,81.5686274509804,0.88,0.0,90.98039215686275
1693755624.672015,6224.0,35,93,79.6078431372549,0.88,0.0,90.98039215686275
1693755626.14112,6421.0,35,93,77.64705882352942,0.415,0.0,71.37254901960785
1693755627.612595,6163.0,34,25,17.647058823529413,0.0,0.0,8.627450980392158
1693755629.081975,3029.0,35,30,17.647058823529413,0.005,1.5625,8.627450980392158
1693755630.55217,1255.0,36,48,23.529411764705884,0.87,-2.34375,8.627450980392158
1693755632.022542,1071.0,36,51,25.098039215686278,0.155,0.0,8.627450980392158
1693755633.46265,1029.0,36,49,25.098039215686278,0.555,-0.78125,8.627450980392158
1693755634.931383,1015.0,36,49,23.529411764705884,0.4,-1.5625,8.627450980392158
1693755636.402499,1001.0,36,49,23.529411764705884,0.07,-2.34375,8.627450980392158
1693755637.872021,1005.0,36,49,23.529411764705884,0.07,-4.6875,8.627450980392158
1693755639.312144,1018.0,36,48,23.529411764705884,0.1,-4.6875,8.627450980392158
1693755640.75335,996.0,37,48,21.96078431372549,0.755,-6.25,8.627450980392158
1693755642.222328,960.0,37,48,21.96078431372549,0.82,-3.90625,8.627450980392158
1693755643.662308,983.0,37,49,23.529411764705884,0.28,-0.78125,8.627450980392158
1693755645.162171,987.0,37,48,23.529411764705884,0.09,-0.78125,8.627450980392158
1693755646.603007,1002.0,37,48,23.529411764705884,0.07,-2.34375,8.627450980392158
1693755648.041426,982.0,37,47,23.529411764705884,0.085,-3.90625,8.627450980392158
1693755649.512804,990.0,38,47,23.529411764705884,0.645,-7.03125,8.627450980392158
1693755650.953346,984.0,38,47,21.96078431372549,0.81,-5.46875,8.627450980392158
1693755652.391684,986.0,38,48,21.96078431372549,0.825,-3.90625,8.627450980392158
1693755653.831815,1001.0,38,48,23.529411764705884,0.055,-5.46875,8.627450980392158
1693755655.301408,997.0,38,65,17.647058823529413,0.82,-11.71875,8.627450980392158
1693755656.77299,2059.0,38,27,17.647058823529413,0.0,0.0,23.92156862745098
1693755658.212958,2983.0,38,88,73.33333333333334,0.83,3.90625,45.88235294117647
1693755659.713102,3112.0,38,38,17.647058823529413,0.9,-7.03125,8.627450980392158
1693755661.182818,2323.0,38,79,65.49019607843138,0.645,10.9375,42.352941176470594
1693755662.622407,2565.0,38,91,63.13725490196079,0.49,10.15625,44.70588235294118
1693755664.061701,2648.0,38,92,63.13725490196079,0.68,10.15625,45.88235294117647
1693755665.532382,2721.0,38,91,63.13725490196079,0.87,4.6875,34.90196078431373
1693755667.00305,2788.0,38,81,27.84313725490196,0.795,1.5625,21.568627450980394
1693755668.472545,2801.0,39,56,32.94117647058824,0.27,0.78125,23.92156862745098
1693755669.912466,2818.0,39,74,49.80392156862745,0.81,-8.59375,27.450980392156865
1693755671.382686,2833.0,39,82,52.156862745098046,0.83,3.90625,29.80392156862745
1693755672.882836,2877.0,39,61,36.47058823529412,0.825,-3.90625,14.11764705882353
1693755674.353418,2864.0,39,31,18.823529411764707,0.035,-8.59375,19.215686274509807
1693755675.882784,2836.0,39,62,40.0,0.335,9.375,22.745098039215687
1693755677.386123,2840.0,39,65,41.96078431372549,0.785,5.46875,23.529411764705884
1693755678.883172,2851.0,39,66,40.0,0.86,-2.34375,10.980392156862745
1693755680.353372,2833.0,39,57,36.47058823529412,0.09,1.5625,9.803921568627452
1693755681.792818,2804.0,39,27,18.823529411764707,0.04,-3.90625,16.07843137254902
1693755683.292619,2773.0,39,30,17.647058823529413,0.765,-6.25,8.627450980392158
1693755684.792762,2709.0,39,34,17.647058823529413,0.045,4.6875,8.627450980392158
1693755686.263579,2678.0,39,27,17.647058823529413,0.03,3.125,16.47058823529412
1693755687.793343,2611.0,39,49,26.666666666666668,0.1,8.59375,20.784313725490197
1693755689.263086,2610.0,39,68,38.43137254901961,0.815,3.90625,28.23529411764706
1693755690.732848,2637.0,39,93,65.49019607843138,0.065,11.71875,54.117647058823536
1693755692.173011,2712.0,39,92,65.49019607843138,0.91,7.8125,8.627450980392158
1693755693.67303,2756.0,39,29,17.647058823529413,0.0,0.0,8.627450980392158
1693755695.20297,1363.0,39,43,20.3921568627451,0.875,-0.78125,8.627450980392158
1693755696.703246,1036.0,39,49,23.529411764705884,0.065,2.34375,8.627450980392158
1693755698.232124,1011.0,39,47,23.529411764705884,0.56,-2.34375,8.627450980392158
1693755699.733062,999.0,39,48,23.529411764705884,0.67,-2.34375,8.627450980392158
1693755701.233699,1002.0,39,48,23.529411764705884,0.77,-2.34375,8.627450980392158
1693755702.704248,993.0,39,47,21.96078431372549,0.63,-3.125,8.627450980392158
1693755704.14357,998.0,39,47,23.529411764705884,0.125,0.0,8.627450980392158
1693755705.674897,999.0,39,48,23.529411764705884,0.075,0.0,8.627450980392158
1693755707.113485,1003.0,39,48,25.098039215686278,0.08,0.0,8.627450980392158
1693755708.583263,996.0,39,48,23.529411764705884,0.09,0.0,8.627450980392158
1693755710.025008,991.0,39,48,23.529411764705884,0.665,-2.34375,8.627450980392158
1693755711.465346,1453.0,39,38,17.647058823529413,0.09,1.5625,8.627450980392158
1693755712.903545,1341.0,39,47,25.098039215686278,0.03,1.5625,8.627450980392158
1693755714.342675,1016.0,39,49,23.529411764705884,0.76,1.5625,8.627450980392158
1693755715.783172,994.0,39,48,23.529411764705884,0.81,0.0,8.627450980392158
1693755717.343217,973.0,39,49,25.098039215686278,0.675,-0.78125,8.627450980392158
1693755718.81279,977.0,39,47,21.96078431372549,0.83,-0.78125,8.627450980392158
1693755720.283418,916.0,39,42,20.3921568627451,0.085,-1.5625,8.627450980392158
1693755721.782972,906.0,39,43,21.96078431372549,0.625,2.34375,8.627450980392158
