TIME,Engine speed (RPM),MAP (kPa),Oxygen sensor 1 (V),Oxygen sensor 1 (%)
1693756494.831772,2098.0,65,0.08,4.6875
1693756495.551751,2425.0,74,0.13,6.25
1693756496.272591,2986.0,59,0.905,-2.34375
1693756496.992027,3206.0,28,0.825,0.0
1693756497.71138,2401.0,32,0.0,0.0
1693756498.431459,1883.0,54,0.055,5.46875
1693756499.151287,1870.0,76,0.82,2.34375
1693756499.872089,2136.0,79,0.79,7.03125
1693756500.59177,2422.0,79,0.11,3.90625
1693756501.311617,2711.0,78,0.195,2.34375
1693756502.062852,2967.0,75,0.885,4.6875
1693756502.781529,3133.0,29,0.885,-4.6875
1693756503.501401,2682.0,32,0.0,1.5625
1693756504.221264,1934.0,75,0.82,3.125
1693756504.941152,2042.0,84,0.75,7.03125
1693756505.721418,2161.0,80,0.845,2.34375
1693756506.441526,2271.0,85,0.155,4.6875
1693756507.16212,2382.0,85,0.755,4.6875
1693756507.881924,2482.0,46,0.91,-3.90625
1693756508.601687,2487.0,41,0.045,-3.125
1693756509.351764,2475.0,55,0.79,-3.125
1693756510.101816,2521.0,67,0.88,-2.34375
1693756510.851762,2568.0,68,0.1,-5.46875
1693756511.574498,2622.0,67,0.83,-3.90625
1693756512.291189,2664.0,66,0.82,-4.6875
1693756513.01252,2709.0,52,0.165,-9.375
1693756513.731467,2734.0,60,0.065,-5.46875
1693756514.483277,2775.0,67,0.805,-7.03125
1693756515.202171,2812.0,66,0.825,-7.8125
1693756515.951842,2860.0,66,0.83,-7.8125
1693756516.671969,2896.0,66,0.83,-7.8125
1693756517.422097,2950.0,66,0.835,-8.59375
1693756518.172054,2996.0,65,0.08,-3.125
1693756518.891346,3046.0,64,0.78,-3.90625
1693756519.611937,3078.0,64,0.795,-3.90625
1693756520.331447,3122.0,64,0.315,-2.34375
1693756521.112443,3157.0,50,0.865,-8.59375
1693756521.831491,3158.0,52,0.855,-2.34375
1693756522.551654,3173.0,59,0.125,-3.90625
1693756523.331592,3204.0,59,0.765,-3.125
1693756524.081197,3250.0,59,0.815,-6.25
1693756524.830933,3279.0,60,0.825,-10.15625
1693756525.551473,3319.0,59,0.83,-5.46875
1693756526.272213,3353.0,59,0.82,-4.6875
1693756526.991787,3380.0,64,0.86,-8.59375
1693756527.772379,3426.0,63,0.835,-7.03125
1693756528.552397,3444.0,62,0.815,-3.125
1693756529.273564,3480.0,62,0.705,-3.125
1693756529.992079,3510.0,61,0.79,-2.34375
1693756530.742219,3544.0,61,0.83,-4.6875
1693756531.494674,3573.0,60,0.865,-1.5625
1693756532.213336,3587.0,41,0.83,-1.5625
1693756532.931951,3570.0,35,0.16,3.125
1693756533.652309,3548.0,42,0.085,4.6875
1693756534.401942,3546.0,45,0.14,7.03125
1693756535.122433,3521.0,25,0.86,-0.78125
1693756535.843222,3436.0,25,0.0,0.0
1693756536.592013,3350.0,25,0.0,0.0
1693756537.312249,3226.0,26,0.0,0.0
1693756538.032175,3120.0,27,0.0,0.0
1693756538.752251,3014.0,33,0.0,0.0
1693756539.472328,2898.0,35,0.0,0.0
1693756540.222212,2771.0,36,0.0,0.0
1693756540.941929,2685.0,38,0.0,0.0
1693756541.662852,2583.0,38,0.0,0.0
1693756542.413962,2569.0,39,0.05,5.46875
1693756543.132362,2456.0,41,0.83,5.46875
1693756543.882437,2465.0,41,0.085,4.6875
1693756544.602303,2463.0,42,0.765,6.25
1693756545.322627,2442.0,47,0.82,8.59375
1693756546.04212,2468.0,56,0.185,10.15625
1693756546.761983,2503.0,60,0.105,8.59375
1693756547.514765,2537.0,60,0.845,4.6875
1693756548.232785,2558.0,61,0.13,4.6875
1693756548.952084,2601.0,63,0.775,0.78125
1693756549.674689,2644.0,59,0.745,-0.78125
1693756550.392702,2667.0,60,0.805,0.0
1693756551.144448,2698.0,61,0.805,0.0
1693756551.923017,2748.0,60,0.84,4.6875
1693756552.672916,2783.0,60,0.395,3.90625
1693756553.392682,2812.0,60,0.145,2.34375
1693756554.112225,2840.0,59,0.105,1.5625
1693756554.83245,2874.0,59,0.09,1.5625
1693756555.582179,2908.0,59,0.225,0.0
1693756556.302132,2939.0,58,0.575,-1.5625
1693756557.052424,2960.0,58,0.695,-0.78125
1693756557.802902,2981.0,58,0.74,0.0
1693756558.523411,3010.0,57,0.81,0.78125
1693756559.27289,3028.0,52,0.865,-0.78125
1693756559.99275,3025.0,42,0.05,-0.78125
1693756560.713805,3021.0,53,0.75,-0.78125
1693756561.432852,3027.0,48,0.81,-3.125
1693756562.152273,3036.0,46,0.86,-0.78125
1693756562.902622,3023.0,40,0.805,0.78125
1693756563.622602,3007.0,40,0.74,4.6875
1693756564.342642,2980.0,40,0.12,3.90625
1693756565.092664,2961.0,37,0.805,-3.90625
1693756565.81295,2941.0,37,0.26,1.5625
1693756566.532791,2913.0,37,0.155,-1.5625
1693756567.283141,2871.0,37,0.13,-2.34375
1693756568.002931,2840.0,38,0.81,-7.03125
1693756568.752211,2804.0,32,0.07,0.0
1693756569.472868,2715.0,32,0.0,0.0
1693756570.192486,2626.0,30,0.0,0.0
1693756570.943997,2524.0,29,0.0,0.0
1693756571.661666,2412.0,32,0.0,0.0
1693756572.383605,2331.0,60,0.07,7.03125
1693756573.102444,2408.0,84,0.115,4.6875
1693756573.822968,2533.0,88,0.265,1.5625
1693756574.573047,2619.0,61,0.83,5.46875
1693756575.292761,2666.0,68,0.29,3.125
1693756576.042976,2735.0,76,0.155,-3.125
1693756576.762611,2795.0,77,0.72,-9.375
1693756577.483386,2862.0,76,0.785,-9.375
1693756578.233313,2934.0,76,0.83,-5.46875
1693756578.983301,2977.0,74,0.785,-8.59375
1693756579.702369,3055.0,58,0.87,-2.34375
1693756580.423109,3069.0,29,0.875,-9.375
1693756581.172584,2503.0,31,0.0,0.0
1693756581.893296,2033.0,30,0.0,0.0
1693756582.643051,2063.0,55,0.07,6.25
1693756583.362969,2078.0,58,0.73,1.5625
1693756584.083232,2098.0,59,0.83,2.34375
1693756584.802452,2098.0,33,0.87,-3.125
1693756585.522098,2051.0,33,0.92,-3.125
1693756586.271783,3722.0,28,0.0,0.0
1693756586.992638,2634.0,32,0.0,0.0
1693756587.713131,2624.0,31,0.0,0.0
1693756588.433542,2526.0,29,0.0,0.0
1693756589.153514,2414.0,29,0.0,0.0
1693756589.903187,2210.0,28,0.0,0.0
1693756590.626209,1950.0,31,0.0,0.0
1693756591.343247,1849.0,42,0.025,2.34375
1693756592.062642,1784.0,62,0.115,7.03125
1693756592.782818,1839.0,61,0.695,1.5625
1693756593.502972,1865.0,70,0.74,1.5625
1693756594.252947,1946.0,73,0.525,0.78125
1693756595.003366,2037.0,74,0.75,1.5625
1693756595.723603,2139.0,75,0.8,2.34375
1693756596.473624,2252.0,81,0.755,1.5625
1693756597.193382,2382.0,86,0.865,-0.78125
1693756597.943277,2503.0,89,0.055,3.125
1693756598.663426,2601.0,92,0.08,12.5
1693756599.414573,2779.0,92,0.415,8.59375
1693756600.132967,2922.0,92,0.765,10.15625
1693756600.852833,3076.0,92,0.815,7.03125
1693756601.603534,3224.0,91,0.855,4.6875
1693756602.322922,3389.0,92,0.415,6.25
1693756603.042987,3543.0,91,0.72,6.25
1693756603.793418,3722.0,90,0.84,1.5625
1693756604.51358,3878.0,82,0.83,0.0
