TIME,MAP (kPa),Engine speed (RPM),Oxygen sensor 1 (V),Oxygen sensor 1 (%)
1693755923.415529,50,1275.0,0.075,-3.90625
1693755924.194828,49,1299.0,0.75,-5.46875
1693755924.914816,85,1515.0,0.045,1.5625
1693755925.664528,53,2222.0,0.92,1.5625
1693755926.385406,31,2646.0,0.84,-3.90625
1693755927.134947,34,2097.0,0.01,1.5625
1693755927.854761,52,1381.0,0.08,4.6875
1693755928.605452,85,1538.0,0.065,4.6875
1693755929.3557,76,1834.0,0.915,2.34375
1693755930.074997,30,2136.0,0.895,-2.34375
1693755930.798117,27,2199.0,0.685,-6.25
1693755931.514984,39,1498.0,0.045,-1.5625
1693755932.235077,42,1224.0,0.88,-4.6875
1693755932.955482,40,1186.0,0.695,-9.375
1693755933.73511,63,1155.0,0.03,-3.125
1693755934.455094,43,1189.0,0.895,-4.6875
1693755935.175478,95,1285.0,0.115,-6.25
1693755935.895676,95,1347.0,0.035,-1.5625
1693755936.615263,95,1488.0,0.065,3.90625
1693755937.365844,94,1637.0,0.785,0.78125
1693755938.115363,94,1805.0,0.82,0.0
1693755938.835165,94,1956.0,0.505,5.46875
1693755939.58495,94,2105.0,0.62,7.03125
1693755940.304449,94,2269.0,0.16,7.8125
1693755941.085014,94,2442.0,0.09,10.9375
1693755941.805196,94,2629.0,0.84,14.0625
1693755942.525211,94,2805.0,0.81,11.71875
1693755943.214261,94,2982.0,0.85,10.15625
1693755943.965799,94,3142.0,0.6,0.0
1693755944.685249,94,3316.0,0.155,1.5625
1693755945.405423,94,3474.0,0.13,0.78125
1693755946.125217,94,3620.0,0.33,1.5625
1693755946.845191,94,3813.0,0.585,1.5625
1693755947.565265,94,3947.0,0.82,1.5625
1693755948.285236,93,4105.0,0.84,-1.5625
1693755949.03531,93,4264.0,0.7,-3.90625
1693755949.785647,93,4440.0,0.175,-1.5625
1693755950.506118,93,4604.0,0.105,0.78125
1693755951.225344,93,4738.0,0.9,0.0
1693755951.975773,93,4867.0,0.885,0.0
1693755952.725288,93,5027.0,0.875,0.0
1693755953.445762,93,5141.0,0.875,0.0
1693755954.165715,93,5285.0,0.88,0.0
1693755954.885315,93,5407.0,0.885,0.0
1693755955.605945,93,5519.0,0.88,0.0
1693755956.355389,93,5639.0,0.88,0.0
1693755957.07615,93,5752.0,0.88,0.0
1693755957.825702,93,5846.0,0.88,0.0
1693755958.54602,93,5943.0,0.88,0.0
1693755959.265483,93,6068.0,0.88,0.0
1693755960.015564,93,6158.0,0.88,0.0
1693755960.735525,92,6224.0,0.875,0.0
1693755961.485712,93,6324.0,0.875,0.0
1693755962.235311,92,6405.0,0.87,-3.125
1693755962.955473,24,6292.0,0.0,0.0
1693755963.674814,22,4808.0,0.0,0.0
1693755964.426125,26,3406.0,0.0,0.0
1693755965.176219,30,2267.0,0.0,0.78125
1693755965.895589,42,1375.0,0.76,0.78125
1693755966.615473,43,1191.0,0.9,-1.5625
1693755967.335556,44,1079.0,0.855,-3.90625
1693755968.08507,48,974.0,0.805,-6.25
1693755968.805556,47,976.0,0.75,-8.59375
1693755969.52774,48,957.0,0.09,-6.25
1693755970.275701,48,956.0,0.73,-7.03125
1693755970.994701,48,957.0,0.185,-6.25
1693755971.744881,48,967.0,0.23,-3.125
1693755972.465881,48,965.0,0.795,-8.59375
1693755973.186125,48,944.0,0.065,-5.46875
1693755973.905412,48,935.0,0.675,-3.90625
1693755974.62608,48,962.0,0.795,-8.59375
1693755975.37693,49,933.0,0.05,-4.6875
1693755976.156528,48,946.0,0.79,-4.6875
1693755976.87727,48,945.0,0.635,-9.375
1693755977.59681,49,931.0,0.055,-3.125
1693755978.315782,48,959.0,0.82,-3.90625
1693755979.035777,44,963.0,0.83,-8.59375
1693755979.786306,44,912.0,0.08,-9.375
1693755980.505949,44,912.0,0.07,-3.90625
