TIME,Engine speed (RPM),Oxygen sensor 1 (V),Oxygen sensor 1 (%)
1693757692.029376,926.0,0.85,0.0
1693757692.539322,947.0,0.855,0.0
1693757693.018699,905.0,0.83,0.0
1693757693.499239,982.0,0.275,0.0
1693757693.978947,1770.0,0.84,0.0
1693757694.518946,1611.0,0.915,0.0
1693757694.999234,1144.0,0.86,-2.34375
1693757695.510154,920.0,0.105,-0.78125
1693757695.989056,971.0,0.08,0.78125
1693757696.46889,937.0,0.835,-0.78125
1693757696.949373,916.0,0.795,-2.34375
1693757697.429152,907.0,0.14,-0.78125
1693757697.910122,928.0,0.065,0.78125
1693757698.388938,1041.0,0.035,3.125
1693757698.869006,1661.0,0.06,5.46875
1693757699.348868,1656.0,0.86,1.5625
1693757699.85877,1422.0,0.1,3.125
1693757700.338682,908.0,0.04,5.46875
1693757700.818609,942.0,0.815,2.34375
1693757701.298593,1237.0,0.71,6.25
1693757701.778778,1418.0,0.865,1.5625
1693757702.228648,1487.0,0.86,-0.78125
1693757702.708915,1540.0,0.78,-3.125
1693757703.219308,1455.0,0.055,-0.78125
1693757703.728735,1342.0,0.07,2.34375
1693757704.208797,1336.0,0.415,0.0
1693757704.689892,1520.0,0.045,5.46875
1693757705.16868,1702.0,0.765,7.8125
1693757705.648641,1922.0,0.84,1.5625
1693757706.159208,1940.0,0.865,1.5625
1693757706.639202,2129.0,0.535,-3.125
1693757707.120507,2336.0,0.055,4.6875
1693757707.629403,2629.0,0.81,2.34375
1693757708.109532,2959.0,0.175,5.46875
1693757708.590239,3134.0,0.9,0.0
1693757709.069352,3109.0,0.865,-4.6875
1693757709.549392,2508.0,0.0,0.0
1693757710.029244,1841.0,0.05,4.6875
1693757710.510187,2036.0,0.8,3.125
1693757710.989805,2220.0,0.795,7.8125
1693757711.499422,2406.0,0.785,0.0
1693757711.979212,2558.0,0.39,5.46875
1693757712.458795,2744.0,0.14,3.90625
1693757712.970128,2923.0,0.55,0.78125
1693757713.448934,3147.0,0.89,2.34375
1693757713.928928,3258.0,0.905,-3.125
1693757714.408778,3132.0,0.8,0.0
1693757714.918778,2457.0,0.005,1.5625
1693757715.399125,2083.0,0.06,6.25
1693757715.87897,2143.0,0.84,5.46875
1693757716.358788,2248.0,0.145,4.6875
1693757716.839477,2356.0,0.755,1.5625
1693757717.318876,2443.0,0.8,7.03125
1693757717.769373,2519.0,0.075,5.46875
1693757718.249849,2607.0,0.755,3.125
1693757718.759237,2712.0,0.805,4.6875
1693757719.239388,2803.0,0.18,6.25
1693757719.719389,2894.0,0.31,3.125
1693757720.199561,3004.0,0.79,1.5625
1693757720.679459,3078.0,0.83,3.125
1693757721.159492,3150.0,0.925,-3.125
1693757721.609462,3166.0,0.895,0.0
1693757722.089643,2771.0,0.015,0.0
1693757722.59963,2317.0,0.035,3.125
1693757723.079446,2262.0,0.43,7.8125
1693757723.558612,2279.0,0.755,1.5625
1693757724.039485,2319.0,0.825,6.25
1693757724.518862,2356.0,0.61,-1.5625
1693757724.998834,2385.0,0.9,0.78125
1693757725.538982,2412.0,0.86,-5.46875
1693757726.019094,2422.0,0.095,3.125
1693757726.529678,2455.0,0.865,-0.78125
1693757727.009725,2444.0,0.85,-4.6875
1693757727.488844,2436.0,0.04,-1.5625
1693757727.969089,2412.0,0.05,2.34375
1693757728.4488,2434.0,0.135,6.25
1693757728.929796,2426.0,0.75,2.34375
1693757729.409019,2436.0,0.695,6.25
1693757729.889231,2434.0,0.14,4.6875
1693757730.398951,2440.0,0.29,3.125
1693757730.879583,2441.0,0.115,7.8125
1693757731.358994,2448.0,0.795,3.125
1693757731.838991,2450.0,0.67,5.46875
1693757732.321815,2462.0,0.14,3.125
1693757732.799912,2461.0,0.83,2.34375
1693757733.250952,2469.0,0.07,3.90625
1693757733.759608,2477.0,0.83,3.125
1693757734.270906,2486.0,0.1,4.6875
1693757734.810014,2490.0,0.845,0.0
1693757735.25966,2481.0,0.775,-4.6875
1693757735.7399,2472.0,0.075,-1.5625
1693757736.219717,2431.0,0.01,0.0
1693757736.730035,2425.0,0.0,0.0
1693757737.239675,2380.0,0.0,0.0
