TIME,Engine speed (RPM),MAP (kPa),Oxygen sensor 1 (V),Oxygen sensor 1 (%),Calculated engine load (%),IAT (Celsius),Throttle position (%)
1693757133.150589,918.0,39,0.86,0.0,18.823529411764707,38,8.627450980392158
1693757134.650628,913.0,39,0.82,0.0,17.647058823529413,38,8.627450980392158
1693757136.180949,916.0,42,0.775,0.0,20.3921568627451,38,8.627450980392158
1693757137.620678,938.0,41,0.815,0.0,18.823529411764707,38,8.627450980392158
1693757139.090397,938.0,41,0.82,0.0,20.3921568627451,38,8.627450980392158
1693757140.560642,921.0,41,0.725,0.0,20.3921568627451,38,8.627450980392158
1693757142.000759,920.0,41,0.54,-5.46875,18.823529411764707,38,8.627450980392158
1693757143.440778,904.0,41,0.055,0.0,20.3921568627451,38,8.627450980392158
1693757144.881136,924.0,41,0.82,-3.125,18.823529411764707,38,12.549019607843139
1693757146.320636,899.0,63,0.035,-0.78125,34.50980392156863,39,17.647058823529413
1693757147.791157,1389.0,68,0.1,4.6875,45.490196078431374,39,18.823529411764707
1693757149.291293,1871.0,59,0.825,0.0,45.490196078431374,39,24.705882352941178
1693757150.700694,2902.0,67,0.855,1.5625,17.647058823529413,39,8.627450980392158
1693757152.109839,3005.0,31,0.0,0.0,17.647058823529413,39,21.96078431372549
1693757153.579616,2030.0,73,0.6,2.34375,49.80392156862745,39,25.88235294117647
1693757155.08086,2554.0,76,0.835,3.125,55.294117647058826,39,28.23529411764706
1693757156.581011,3125.0,73,0.785,-2.34375,17.647058823529413,39,8.627450980392158
1693757158.110918,2812.0,32,0.005,1.5625,29.411764705882355,39,19.215686274509807
1693757159.610984,2133.0,58,0.37,6.25,34.50980392156863,39,12.549019607843139
1693757161.080952,2214.0,31,0.84,-6.25,17.647058823529413,39,14.901960784313726
1693757162.551288,2194.0,41,0.765,3.125,17.647058823529413,39,8.627450980392158
1693757163.991331,2104.0,28,0.045,3.125,17.647058823529413,39,14.901960784313726
1693757165.431168,1972.0,46,0.85,2.34375,26.666666666666668,39,18.823529411764707
1693757166.991243,2038.0,63,0.78,3.90625,43.529411764705884,39,22.35294117647059
1693757168.461262,2178.0,69,0.79,7.03125,49.80392156862745,39,27.450980392156865
