TIME,MAP (kPa),Engine speed (RPM),Oxygen sensor 1 (V),Oxygen sensor 1 (%),Oxygen sensor 2 (V),Oxygen sensor 2 (%),Fuel system operation mode
1711129942.633171,42,947.0,0.895,0.0,0.68,0.78125,OPEN_LOOP_INS_TEMP
1711129943.877775,42,949.0,0.895,0.0,0.685,0.78125,OPEN_LOOP_INS_TEMP
1711129945.1384,42,948.0,0.88,0.0,0.69,0.78125,OPEN_LOOP_INS_TEMP
1711129946.370632,42,940.0,0.885,0.0,0.695,0.78125,OPEN_LOOP_INS_TEMP
1711129947.658736,42,946.0,0.885,0.0,0.7,0.78125,OPEN_LOOP_INS_TEMP
1711129948.889262,43,962.0,0.87,0.0,0.705,0.78125,OPEN_LOOP_INS_TEMP
1711129950.088911,42,938.0,0.835,0.0,0.71,0.78125,OPEN_LOOP_INS_TEMP
1711129951.319455,42,937.0,0.84,0.0,0.715,0.78125,OPEN_LOOP_INS_TEMP
1711129952.550017,43,966.0,0.855,0.0,0.72,0.78125,OPEN_LOOP_INS_TEMP
1711129953.748009,42,929.0,0.84,0.0,0.725,0.78125,OPEN_LOOP_INS_TEMP
1711129955.038004,42,934.0,0.835,-3.125,0.73,0.78125,CLOSED_LOOP
1711129956.268285,43,930.0,0.165,-5.46875,0.735,0.78125,CLOSED_LOOP
1711129957.499044,43,974.0,0.455,2.34375,0.74,0.78125,CLOSED_LOOP
1711129958.758593,42,942.0,0.765,-8.59375,0.745,0.78125,CLOSED_LOOP
1711129960.049984,44,952.0,0.035,-0.78125,0.745,0.78125,CLOSED_LOOP
1711129961.279167,42,962.0,0.885,-3.125,0.75,0.78125,CLOSED_LOOP
1711129962.538247,43,936.0,0.055,-5.46875,0.75,0.78125,CLOSED_LOOP
1711129963.738538,44,991.0,0.265,2.34375,0.755,0.78125,CLOSED_LOOP
1711129964.969099,42,936.0,0.715,-7.8125,0.755,0.78125,CLOSED_LOOP
1711129966.228442,43,935.0,0.05,0.78125,0.76,0.78125,CLOSED_LOOP
1711129967.518988,42,928.0,0.77,-5.46875,0.76,0.78125,CLOSED_LOOP
1711129968.750847,48,949.0,0.04,2.34375,0.76,0.78125,CLOSED_LOOP
1711129970.039884,46,974.0,0.89,-0.78125,0.765,0.78125,CLOSED_LOOP
1711129971.268351,47,934.0,0.055,-2.34375,0.765,0.78125,CLOSED_LOOP
1711129972.471274,48,958.0,0.1,6.25,0.76,0.78125,CLOSED_LOOP
1711129973.697997,56,1359.0,0.675,12.5,0.765,0.78125,CLOSED_LOOP
1711129974.988772,43,1528.0,0.885,3.125,0.77,0.78125,CLOSED_LOOP
1711129976.187996,44,1430.0,0.865,-3.125,0.765,0.78125,CLOSED_LOOP
1711129977.418967,45,860.0,0.035,-2.34375,0.755,0.78125,CLOSED_LOOP
1711129978.6486,48,1783.0,0.92,-2.34375,0.77,0.78125,CLOSED_LOOP
1711129979.87814,40,1161.0,0.89,-7.03125,0.775,0.78125,CLOSED_LOOP
1711129981.167986,57,826.0,0.015,-3.125,0.76,0.78125,CLOSED_LOOP
1711129982.429147,55,989.0,0.16,5.46875,0.765,0.78125,CLOSED_LOOP
1711129983.719703,46,944.0,0.765,-3.90625,0.765,0.78125,CLOSED_LOOP
1711129984.978967,51,987.0,0.085,4.6875,0.765,0.78125,CLOSED_LOOP
1711129986.269334,56,1256.0,0.485,9.375,0.755,0.78125,CLOSED_LOOP
1711129987.558255,71,898.0,0.465,10.9375,0.75,0.78125,CLOSED_LOOP
1711129988.878194,60,1652.0,0.93,1.5625,0.81,0.78125,CLOSED_LOOP
1711129990.138472,43,1695.0,0.855,-6.25,0.77,0.78125,CLOSED_LOOP
1711129991.459707,53,1762.0,0.055,-1.5625,0.755,0.78125,CLOSED_LOOP
1711129992.778831,49,2126.0,0.34,-8.59375,0.755,0.78125,CLOSED_LOOP
1711129994.098358,44,2335.0,0.135,-7.8125,0.755,0.78125,CLOSED_LOOP
1711129995.447871,29,2138.0,0.66,-16.40625,0.76,0.78125,CLOSED_LOOP
1711129996.64819,52,1272.0,0.03,-8.59375,0.76,0.78125,CLOSED_LOOP
1711129997.999598,62,1330.0,0.035,-2.34375,0.75,0.78125,CLOSED_LOOP
1711129999.287742,64,1382.0,0.79,-7.03125,0.75,0.78125,CLOSED_LOOP
1711130000.487893,58,1597.0,0.08,-1.5625,0.75,0.78125,CLOSED_LOOP
1711130001.778058,47,1761.0,0.87,-9.375,0.755,0.78125,CLOSED_LOOP
