TIME,Engine speed (RPM),MAP (kPa),Oxygen sensor 1 (V),Oxygen sensor 1 (%),Calculated engine load (%),IAT (Celsius),Throttle position (%)
1693758185.836473,966.0,77,0.46,2.34375,52.54901960784314,36,30.98039215686275
1693758187.306403,1945.0,87,0.1,7.03125,68.62745098039215,36,33.72549019607843
1693758188.806761,2551.0,90,0.865,7.03125,68.62745098039215,36,8.627450980392158
1693758190.276191,3157.0,28,0.0,0.0,25.098039215686278,36,90.98039215686275
1693758191.745525,2284.0,94,0.075,10.9375,76.07843137254902,36,90.98039215686275
1693758193.215741,3128.0,93,0.865,5.46875,38.43137254901961,36,8.627450980392158
1693758194.655636,3194.0,29,0.0,0.0,33.333333333333336,36,36.86274509803922
1693758196.095723,2282.0,90,0.11,5.46875,70.98039215686275,36,27.450980392156865
1693758197.535973,2540.0,81,0.875,0.0,42.352941176470594,36,27.450980392156865
1693758199.065709,2715.0,79,0.085,-3.125,50.196078431372555,36,27.84313725490196
1693758200.565772,2886.0,77,0.76,-6.25,34.90196078431373,37,8.627450980392158
1693758202.006033,2813.0,26,0.035,0.0,17.647058823529413,37,8.627450980392158
1693758203.476327,2065.0,26,0.0,0.0,17.647058823529413,37,34.90196078431373
1693758204.916565,2711.0,28,0.0,0.0,17.647058823529413,37,8.627450980392158
1693758206.446427,2527.0,27,0.0,0.0,17.647058823529413,38,8.627450980392158
1693758207.9167,2018.0,83,0.01,0.0,17.647058823529413,38,8.627450980392158
1693758209.356309,2803.0,28,0.0,0.0,17.647058823529413,38,8.627450980392158
1693758210.946271,2002.0,27,0.0,1.5625,43.92156862745098,38,32.15686274509804
1693758212.385829,2268.0,90,0.79,7.03125,70.98039215686275,38,47.84313725490196
1693758213.826139,3089.0,90,0.875,-1.5625,17.647058823529413,38,8.627450980392158
1693758215.265264,2836.0,30,0.0,0.78125,27.058823529411768,37,38.43137254901961
1693758216.70738,2280.0,92,0.105,9.375,74.11764705882354,37,52.54901960784314
1693758218.176013,2616.0,92,0.695,7.8125,76.07843137254902,37,54.90196078431373
1693758219.58667,2933.0,92,0.795,3.90625,78.03921568627452,37,8.627450980392158
1693758221.056935,3141.0,26,0.895,0.0,17.647058823529413,37,18.43137254901961
1693758222.526576,2206.0,71,0.83,9.375,47.84313725490196,37,23.529411764705884
1693758223.967308,2271.0,64,0.23,2.34375,40.392156862745104,37,21.96078431372549
1693758225.466158,2311.0,63,0.835,1.5625,40.392156862745104,37,19.607843137254903
1693758226.96858,2342.0,50,0.12,0.0,25.098039215686278,37,16.47058823529412
1693758228.406288,2341.0,49,0.105,2.34375,25.098039215686278,37,16.47058823529412
1693758229.846612,2332.0,49,0.815,3.125,25.098039215686278,37,16.47058823529412
1693758231.286351,2329.0,49,0.83,-1.5625,23.529411764705884,37,8.627450980392158
1693758232.727174,2264.0,25,0.14,0.0,17.647058823529413,37,8.627450980392158
1693758234.13676,2199.0,25,0.0,0.0,17.647058823529413,37,8.627450980392158
1693758235.606853,2080.0,25,0.0,0.78125,74.11764705882354,37,8.627450980392158
1693758237.047841,2762.0,28,0.0,0.0,17.647058823529413,37,8.627450980392158
1693758238.516545,2592.0,27,0.0,0.0,17.647058823529413,37,8.627450980392158
1693758239.927833,2413.0,25,0.0,0.0,17.647058823529413,37,8.627450980392158
1693758241.455853,2218.0,25,0.0,0.0,74.11764705882354,38,8.627450980392158
1693758242.927754,3157.0,26,0.0,0.0,17.647058823529413,38,8.627450980392158
1693758244.396736,2147.0,26,0.0,0.0,17.647058823529413,38,8.627450980392158
1693758245.866639,1638.0,31,0.0,1.5625,22.35294117647059,38,21.96078431372549
1693758247.308385,1671.0,76,0.825,3.90625,50.196078431372555,38,15.686274509803923
1693758248.777258,2049.0,42,0.515,-3.125,31.372549019607845,38,13.725490196078432
1693758250.217155,2179.0,33,0.87,-0.78125,17.647058823529413,38,13.333333333333334
1693758251.656727,2018.0,37,0.01,1.5625,20.784313725490197,38,14.50980392156863
1693758253.066855,1984.0,37,0.845,-1.5625,17.647058823529413,38,19.215686274509807
1693758254.506543,2165.0,60,0.635,8.59375,38.43137254901961,38,23.529411764705884
1693758256.007288,2524.0,74,0.08,5.46875,60.7843137254902,38,32.15686274509804
1693758257.449188,3093.0,80,0.88,0.78125,17.647058823529413,37,8.627450980392158
1693758258.918454,2856.0,31,0.0,0.78125,31.372549019607845,37,28.627450980392158
1693758260.38733,2178.0,84,0.69,1.5625,63.529411764705884,37,30.98039215686275
1693758261.865593,2450.0,84,0.89,0.78125,45.490196078431374,37,28.23529411764706
1693758263.296502,2623.0,81,0.125,1.5625,47.84313725490196,37,27.058823529411768
1693758264.766838,2796.0,73,0.795,-4.6875,33.333333333333336,38,18.03921568627451
1693758266.23684,2877.0,50,0.81,-0.78125,36.86274509803922,38,22.35294117647059
1693758267.677373,2940.0,63,0.1,6.25,38.43137254901961,38,8.627450980392158
1693758269.117953,3017.0,27,0.885,-8.59375,17.647058823529413,38,10.980392156862745
1693758270.557188,2107.0,41,0.03,3.125,36.86274509803922,38,20.784313725490197
1693758271.996808,2115.0,64,0.335,5.46875,40.392156862745104,38,20.784313725490197
1693758273.408006,2157.0,63,0.795,3.90625,40.392156862745104,38,20.784313725490197
1693758274.877786,2192.0,38,0.905,0.0,17.647058823529413,38,14.50980392156863
1693758276.347105,2163.0,43,0.415,5.46875,20.784313725490197,38,8.627450980392158
1693758277.758744,2139.0,26,0.05,2.34375,17.647058823529413,38,8.627450980392158
1693758279.19682,2015.0,28,0.0,0.0,17.647058823529413,38,44.313725490196084
1693758280.727838,3243.0,30,0.0,0.0,17.647058823529413,38,8.627450980392158
1693758282.226984,2415.0,28,0.0,0.0,17.647058823529413,38,8.627450980392158
1693758283.697771,2229.0,27,0.0,0.0,17.647058823529413,38,8.627450980392158
1693758285.137091,1973.0,28,0.015,1.5625,29.80392156862745,38,8.627450980392158
1693758286.577619,2877.0,30,0.0,0.0,17.647058823529413,38,8.627450980392158
1693758288.110153,2035.0,28,0.0,0.0,17.647058823529413,38,10.588235294117649
1693758289.547528,1682.0,59,0.03,3.90625,42.352941176470594,38,20.3921568627451
1693758291.017734,2003.0,66,0.09,6.25,43.92156862745098,38,25.88235294117647
1693758292.487133,2482.0,76,0.77,3.125,52.54901960784314,38,28.23529411764706
1693758293.957721,3041.0,74,0.805,2.34375,36.86274509803922,37,8.627450980392158
1693758295.457598,3092.0,30,0.0,0.0,17.647058823529413,37,15.294117647058824
1693758296.927933,2014.0,69,0.09,8.59375,50.196078431372555,37,25.490196078431374
1693758298.397352,2265.0,65,0.83,2.34375,36.86274509803922,37,20.784313725490197
1693758299.868221,2397.0,67,0.09,3.90625,43.92156862745098,37,24.31372549019608
1693758301.337387,2543.0,72,0.055,-4.6875,42.352941176470594,37,25.88235294117647
1693758302.777938,2673.0,81,0.08,-0.78125,50.196078431372555,38,30.98039215686275
1693758304.218169,2833.0,84,0.82,8.59375,55.68627450980392,38,23.92156862745098
1693758305.661327,2983.0,37,0.915,-2.34375,17.647058823529413,38,8.627450980392158
1693758307.158277,1984.0,34,0.01,2.34375,17.647058823529413,38,8.627450980392158
1693758308.658243,1485.0,35,0.095,0.0,18.823529411764707,38,8.627450980392158
1693758310.129828,1021.0,45,0.075,3.125,20.784313725490197,38,8.627450980392158
