Min Radius,Median Radius,Distance traveled,Median Speed,Min Speed,Max Speed,Min Deceleration,Max Centrifugal,Median Centrifugal,Max Rise/Run,Median Rise/Run,Category,Entry Speed,Exit Speed,Decelerated Speed,Accelerated Speed,Min Engine Load,Max Engine Load,Median Engine Load,MAPE ANN,RMSE ANN,MSE ANN,MAE ANN,MAPE RF,RMSE RF,MSE RF,MAE RF,Corner sum absolute error ANN,Corner sum relative error ANN,Corner sum absolute error RF,Corner sum relative error RF
True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,True,26.81,5.178119,26.812923,2.904405,240504119081078.062500,5.773233,33.330223,3.866832,43.864984,0.11186533,23.510036,0.05995575
True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,True,27.40,5.234505,27.400043,3.093798,240504119081078.062500,5.773233,33.330223,3.866832,37.383263,0.09533552,23.510036,0.05995575
True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,True,27.82,5.274931,27.824898,2.936346,240504119081078.062500,5.773233,33.330223,3.866832,46.933572,0.11969090,23.510036,0.05995575
True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,True,33.10,5.753553,33.103374,3.148644,240504119081078.062500,5.773233,33.330223,3.866832,56.503942,0.14409745,23.510036,0.05995575
True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,True,18.19,4.265518,18.194639,2.679688,240504119081078.062500,5.773233,33.330223,3.866832,17.834710,0.04548242,23.510036,0.05995575
True,True,True,False,True,True,True,False,False,False,True,False,False,False,False,False,True,True,True,33.50,5.788221,33.503510,3.393209,153191004775131.843750,5.065213,25.656384,3.391786,64.768682,0.16517435,18.005947,0.04591911
True,True,True,False,True,True,True,False,False,False,True,False,False,False,False,False,True,True,True,44.70,6.686149,44.704582,3.700699,153191004775131.843750,5.065213,25.656384,3.391786,33.108930,0.08443503,18.005947,0.04591911
True,True,True,False,True,True,True,False,False,False,True,False,False,False,False,False,True,True,True,23.43,4.840551,23.430935,2.993405,153191004775131.843750,5.065213,25.656384,3.391786,0.788017,0.00200962,18.005947,0.04591911
True,True,True,False,True,True,True,False,False,False,True,False,False,False,False,False,True,True,True,31.41,5.604611,31.411665,2.982759,153191004775131.843750,5.065213,25.656384,3.391786,38.381282,0.09788069,18.005947,0.04591911
True,True,True,False,True,True,True,False,False,False,True,False,False,False,False,False,True,True,True,35.85,5.987837,35.854191,3.577077,153191004775131.843750,5.065213,25.656384,3.391786,15.462220,0.03943205,18.005947,0.04591911
True,True,True,False,True,True,True,False,False,False,True,False,False,False,False,False,True,True,True,19.02,4.361306,19.020988,2.674721,209804753793868.281250,4.385987,19.236881,3.184998,1.214243,0.00309659,6.327012,0.01613527
True,True,True,False,True,True,True,False,False,False,True,False,False,False,False,False,True,True,True,13.51,3.675072,13.506152,2.331509,209804753793868.281250,4.385987,19.236881,3.184998,9.247057,0.02358202,6.327012,0.01613527
True,True,True,False,True,True,True,False,False,False,True,False,False,False,False,False,True,True,True,17.67,4.203434,17.668859,2.709017,209804753793868.281250,4.385987,19.236881,3.184998,7.402385,0.01887771,6.327012,0.01613527
True,True,True,False,True,True,True,False,False,False,True,False,False,False,False,False,True,True,True,19.99,4.471266,19.992216,2.913371,209804753793868.281250,4.385987,19.236881,3.184998,2.615823,0.00667092,6.327012,0.01613527
True,True,True,False,True,True,True,False,False,False,True,False,False,False,False,False,True,True,True,22.03,4.693968,22.033339,2.745447,209804753793868.281250,4.385987,19.236881,3.184998,12.296296,0.03135825,6.327012,0.01613527
True,True,True,False,True,True,True,False,True,False,True,False,False,False,False,False,True,True,True,19.60,4.427417,19.602022,2.931690,183726264609394.750000,4.606538,21.220190,3.423601,3.797761,0.00968512,4.834572,0.01232922
True,True,True,False,True,True,True,False,True,False,True,False,False,False,False,False,True,True,True,15.82,3.977379,15.819539,2.558989,183726264609394.750000,4.606538,21.220190,3.423601,18.409481,0.04694822,4.834572,0.01232922
True,True,True,False,True,True,True,False,True,False,True,False,False,False,False,False,True,True,True,16.75,4.092626,16.749592,2.984935,183726264609394.750000,4.606538,21.220190,3.423601,0.288416,0.00073552,4.834572,0.01232922
True,True,True,False,True,True,True,False,True,False,True,False,False,False,False,False,True,True,True,16.41,4.050731,16.408417,2.869969,183726264609394.750000,4.606538,21.220190,3.423601,11.669105,0.02975878,4.834572,0.01232922
True,True,True,False,True,True,True,False,True,False,True,False,False,False,False,False,True,True,True,16.26,4.032615,16.261984,2.373358,183726264609394.750000,4.606538,21.220190,3.423601,25.879703,0.06599892,4.834572,0.01232922
True,True,True,False,True,True,True,False,True,False,True,False,False,False,False,True,True,True,True,5.58,2.361503,5.576696,1.746253,151190263204739.375000,3.720157,13.839570,2.843419,30.379888,0.07747538,15.903602,0.04055767
True,True,True,False,True,True,True,False,True,False,True,False,False,False,False,True,True,True,True,4.34,2.082129,4.335261,1.586167,151190263204739.375000,3.720157,13.839570,2.843419,19.381487,0.04942704,15.903602,0.04055767
True,True,True,False,True,True,True,False,True,False,True,False,False,False,False,True,True,True,True,4.94,2.222369,4.938923,1.542105,151190263204739.375000,3.720157,13.839570,2.843419,17.208497,0.04388544,15.903602,0.04055767
True,True,True,False,True,True,True,False,True,False,True,False,False,False,False,True,True,True,True,3.64,1.907927,3.640184,1.375862,151190263204739.375000,3.720157,13.839570,2.843419,19.130112,0.04878598,15.903602,0.04055767
True,True,True,False,True,True,True,False,True,False,True,False,False,False,False,True,True,True,True,7.24,2.690182,7.237077,1.754031,151190263204739.375000,3.720157,13.839570,2.843419,1.800838,0.00459253,15.903602,0.04055767
False,False,True,False,False,False,True,False,True,False,True,True,False,False,False,True,True,True,True,11.82,3.437612,11.817177,2.444111,168698855244650.312500,4.307594,18.555364,3.179848,77.709986,0.19817751,1.541291,0.00393063
False,False,True,False,False,False,True,False,True,False,True,True,False,False,False,True,True,True,True,11.65,3.413043,11.648866,2.467169,168698855244650.312500,4.307594,18.555364,3.179848,55.023169,0.14032115,1.541291,0.00393063
False,False,True,False,False,False,True,False,True,False,True,True,False,False,False,True,True,True,True,10.33,3.214456,10.332726,2.379560,168698855244650.312500,4.307594,18.555364,3.179848,49.125193,0.12528002,1.541291,0.00393063
False,False,True,False,False,False,True,False,True,False,True,True,False,False,False,True,True,True,True,17.70,4.206811,17.697256,2.913340,168698855244650.312500,4.307594,18.555364,3.179848,73.645613,0.18781247,1.541291,0.00393063
