Min Radius,Median Radius,Distance traveled,Median Speed,Min Speed,Max Speed,Min Deceleration,Max Centrifugal,Median Centrifugal,Max Rise/Run,Median Rise/Run,Category,Entry Speed,Exit Speed,Decelerated Speed,Accelerated Speed,Min Engine Load,Max Engine Load,Median Engine Load,MAPE ANN,RMSE ANN,MSE ANN,MAE ANN,MAPE RF,RMSE RF,MSE RF,MAE RF,Corner sum absolute error ANN,Corner sum relative error ANN,Corner sum absolute error RF,Corner sum relative error RF
True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,True,21.89,4.679056,21.893562,2.885118,240504119081078.062500,5.773233,33.330223,3.866832,19.799045,0.05049191,23.510036,0.05995575
True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,True,32.77,5.724784,32.773151,3.533688,240504119081078.062500,5.773233,33.330223,3.866832,55.949858,0.14268441,23.510036,0.05995575
True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,True,19.53,4.419632,19.533150,2.932374,240504119081078.062500,5.773233,33.330223,3.866832,37.101558,0.09461711,23.510036,0.05995575
True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,True,54.27,7.366808,54.269855,4.598760,240504119081078.062500,5.773233,33.330223,3.866832,47.793468,0.12188383,23.510036,0.05995575
True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,True,37.65,6.136183,37.652737,3.713243,240504119081078.062500,5.773233,33.330223,3.866832,25.208339,0.06428679,23.510036,0.05995575
True,True,True,False,True,True,True,False,False,False,True,False,False,False,False,False,True,True,True,31.34,5.597934,31.336861,3.368992,153191004775131.843750,5.065213,25.656384,3.391786,6.238277,0.01590898,18.005947,0.04591911
True,True,True,False,True,True,True,False,False,False,True,False,False,False,False,False,True,True,True,31.34,5.597826,31.335649,3.389400,153191004775131.843750,5.065213,25.656384,3.391786,68.046912,0.17353455,18.005947,0.04591911
True,True,True,False,True,True,True,False,False,False,True,False,False,False,False,False,True,True,True,36.54,6.045044,36.542561,3.851944,153191004775131.843750,5.065213,25.656384,3.391786,14.549056,0.03710328,18.005947,0.04591911
True,True,True,False,True,True,True,False,False,False,True,False,False,False,False,False,True,True,True,29.57,5.437951,29.571308,3.249619,153191004775131.843750,5.065213,25.656384,3.391786,9.497004,0.02421944,18.005947,0.04591911
True,True,True,False,True,True,True,False,False,False,True,False,False,False,False,False,True,True,True,26.95,5.190911,26.945557,2.881270,153191004775131.843750,5.065213,25.656384,3.391786,38.335536,0.09776403,18.005947,0.04591911
True,True,True,False,True,True,True,False,False,False,True,False,False,False,False,False,True,True,True,17.22,4.149144,17.215397,2.718870,209804753793868.281250,4.385987,19.236881,3.184998,28.653502,0.07307272,6.327012,0.01613527
True,True,True,False,True,True,True,False,False,False,True,False,False,False,False,False,True,True,True,22.16,4.707290,22.158577,3.260417,209804753793868.281250,4.385987,19.236881,3.184998,25.967717,0.06622337,6.327012,0.01613527
True,True,True,False,True,True,True,False,False,False,True,False,False,False,False,False,True,True,True,16.90,4.111443,16.903959,2.889050,209804753793868.281250,4.385987,19.236881,3.184998,8.290868,0.02114353,6.327012,0.01613527
True,True,True,False,True,True,True,False,False,False,True,False,False,False,False,False,True,True,True,15.45,3.931225,15.454532,2.733657,209804753793868.281250,4.385987,19.236881,3.184998,39.757897,0.10139136,6.327012,0.01613527
True,True,True,False,True,True,True,False,False,False,True,False,False,False,False,False,True,True,True,12.60,3.549906,12.601830,2.730965,209804753793868.281250,4.385987,19.236881,3.184998,28.922048,0.07375757,6.327012,0.01613527
True,True,True,False,True,True,True,False,True,False,True,False,False,False,False,False,True,True,True,21.37,4.622521,21.367704,3.105355,183726264609394.750000,4.606538,21.220190,3.423601,54.413955,0.13876752,4.834572,0.01232922
True,True,True,False,True,True,True,False,True,False,True,False,False,False,False,False,True,True,True,29.69,5.449068,29.692343,3.981135,183726264609394.750000,4.606538,21.220190,3.423601,59.544275,0.15185096,4.834572,0.01232922
True,True,True,False,True,True,True,False,True,False,True,False,False,False,False,False,True,True,True,14.10,3.754933,14.099520,2.900270,183726264609394.750000,4.606538,21.220190,3.423601,37.884783,0.09661451,4.834572,0.01232922
True,True,True,False,True,True,True,False,True,False,True,False,False,False,False,False,True,True,True,23.06,4.801926,23.058491,3.162313,183726264609394.750000,4.606538,21.220190,3.423601,30.616573,0.07807898,4.834572,0.01232922
True,True,True,False,True,True,True,False,True,False,True,False,False,False,False,False,True,True,True,32.20,5.674152,32.196007,3.880400,183726264609394.750000,4.606538,21.220190,3.423601,28.020548,0.07145854,4.834572,0.01232922
True,True,True,False,True,True,True,False,True,False,True,False,False,False,False,True,True,True,True,7.87,2.805778,7.872389,2.174118,151190263204739.375000,3.720157,13.839570,2.843419,22.322265,0.05692667,15.903602,0.04055767
True,True,True,False,True,True,True,False,True,False,True,False,False,False,False,True,True,True,True,8.78,2.963815,8.784200,2.222288,151190263204739.375000,3.720157,13.839570,2.843419,8.630375,0.02200935,15.903602,0.04055767
True,True,True,False,True,True,True,False,True,False,True,False,False,False,False,True,True,True,True,12.17,3.488635,12.170572,2.414373,151190263204739.375000,3.720157,13.839570,2.843419,10.278111,0.02621144,15.903602,0.04055767
True,True,True,False,True,True,True,False,True,False,True,False,False,False,False,True,True,True,True,8.44,2.904842,8.438107,2.340329,151190263204739.375000,3.720157,13.839570,2.843419,44.857666,0.11439689,15.903602,0.04055767
True,True,True,False,True,True,True,False,True,False,True,False,False,False,False,True,True,True,True,6.24,2.497332,6.236666,1.903007,151190263204739.375000,3.720157,13.839570,2.843419,44.071842,0.11239286,15.903602,0.04055767
