LATEST,SPEED,LOAD,MAP,IAT,RPM,DISTANCE,FUEL_USED,FUEL_CONSUMPTION,INSTANT_FUEL_CONSUMPTION,LATITUDE,LONGITUDE,ALTITUDE,HEADING,SPEED_GPS,TIME_GPS,X,Y,Z,AAT,AAP
1716019453367256000,30.0,17.647058823529413,65,34,2751.75,10.4558905555,0.0612915856,4.954722345856581,4.1201213461946065,46.763863698523956,23.5311769889453,395.3,323.7,30.164,08:04:13+00:00,9,9,121,13.949999999999989,101.8
1716019453607367000,30.0,17.647058823529413,65,34,1855.75,12.4568155555,0.0978768251,4.954419087244806,2.4608564292018693,46.763863698523956,23.5311769889453,395.3,323.7,30.164,08:04:13+00:00,7,12,125,13.949999999999989,101.8
1716019453876721000,30.0,62.74509803921569,65,34,1855.75,14.7014322222,0.2438001593,4.954936738715577,8.749711748273311,46.76392309701124,23.53111400292354,396.3,322.88,28.717,08:04:14+00:00,8,14,127,13.949999999999989,101.8
1716019454117027000,30.0,62.74509803921569,86,34,1855.75,16.7039822222,0.3739866527,4.9553984458178135,8.749711748273311,46.76392309701124,23.53111400292354,396.3,322.88,28.717,08:04:14+00:00,5,17,124,13.949999999999989,101.8
1716019454357488000,30.0,62.74509803921569,86,34,1855.75,18.7078238889,0.5042571179,4.955860338280118,8.749711748273311,46.76392309701124,23.53111400292354,396.3,322.88,28.717,08:04:14+00:00,6,19,124,13.949999999999989,101.8
1716019454597193000,30.0,72.94117647058825,86,34,1855.75,20.7053655555,0.655220414,4.956493184709319,10.171539907367725,46.76392309701124,23.53111400292354,396.3,322.88,28.717,08:04:14+00:00,0,13,114,13.949999999999989,101.8
1716019454837866000,29.0,72.94117647058825,86,34,1855.75,22.6441202778,0.8067933447,4.957148560036104,10.522282661584741,46.76398215326091,23.531051379809778,397.1,323.78,29.244,08:04:15+00:00,-4,7,123,13.949999999999989,101.8
1716019455076846000,29.0,72.94117647058825,94,34,1855.75,24.5692369444,0.9573000447,4.9577991724647275,10.522282661584741,46.76398215326091,23.531051379809778,397.1,323.78,29.244,08:04:15+00:00,-4,7,123,13.949999999999989,101.8
1716019455317422000,29.0,72.94117647058825,94,34,1919.75,26.5072102778,1.1156228104,4.958509637913468,10.995291708138252,46.76398215326091,23.531051379809778,397.1,323.78,29.244,08:04:15+00:00,-10,8,118,13.949999999999989,101.8
1716019455557326000,29.0,74.90196078431373,94,34,1919.75,28.4397702778,1.2777474338,4.959252632756538,11.290864065883902,46.76398215326091,23.531051379809778,397.1,323.78,29.244,08:04:15+00:00,-15,9,121,13.949999999999989,101.8
1716019455797574000,29.0,74.90196078431373,94,34,1919.75,30.3751013889,1.4401045289,4.959996518,11.290864065883902,46.76398215326091,23.531051379809778,397.1,323.78,29.244,08:04:15+00:00,-7,14,124,13.949999999999989,101.8
1716019456037041000,29.0,74.90196078431373,94,34,1919.75,32.3041411111,1.6019338323,4.960737811641208,11.290864065883902,46.764043586220545,23.530986236438142,397.9,318.76,29.886,08:04:16+00:00,-13,13,125,13.949999999999989,101.8
