LATEST,SPEED,LOAD,MAP,IAT,RPM,DISTANCE,FUEL_USED,FUEL_CONSUMPTION,INSTANT_FUEL_CONSUMPTION,LATITUDE,LONGITUDE,ALTITUDE,HEADING,SPEED_GPS,TIME_GPS,X,Y,Z,AAT,AAP
1716019942379529000,64,93.33333333333334,95,34,4095.75,5480.25349,0.0000000000,5.705744072662782,16.531352028221345,46.7501475,23.476637166666666,378.7,203.93,63.889,08:12:22+00:00,-4,20,102,13.949999999999989,101.8
1716019942621108000,64,93.33333333333334,91,34,4095.75,5484.548227,0.5275138188,5.7078644505429414,16.531352028221345,46.7501475,23.476637166666666,378.7,203.93,63.889,08:12:22+00:00,-2,22,141,13.949999999999989,101.8
1716019942621108000,64,93.33333333333334,91,34,4095.75,5484.548227,0.5275138188,5.7078644505429414,16.531352028221345,46.7501475,23.476637166666666,378.7,203.93,63.889,08:12:22+00:00,-10,22,124,13.949999999999989,101.8
1716019942859500000,64,93.33333333333334,91,34,4287.75,5488.786307,1.0789068222,5.710145294434495,17.51069107424099,46.7499955,23.4765385,378.6,203.97,67.764,08:12:23+00:00,-4,13,121,13.949999999999989,101.8
1716019943100754000,64,78.43137254901961,91,34,4287.75,5493.075267,1.5478250718,5.711905963458892,14.714866448942008,46.7499955,23.4765385,378.6,203.97,67.764,08:12:23+00:00,-5,10,117,13.949999999999989,101.8
1716019943340504000,64,78.43137254901961,43,34,4287.75,5497.33749,2.0138200412,5.713654974347676,14.714866448942008,46.7499955,23.4765385,378.6,203.97,67.764,08:12:23+00:00,-5,5,130,13.949999999999989,101.8
1716019943580400000,64,78.43137254901961,43,34,4351.75,5501.602307,2.4892868076,5.715460724,15.00482284370657,46.7499955,23.4765385,378.6,203.97,67.764,08:12:23+00:00,-8,2,120,13.949999999999989,101.8
1716019943580400000,64,78.43137254901961,43,34,4351.75,5501.602307,2.4892868076,5.715460724,15.00482284370657,46.7499955,23.4765385,378.6,203.97,67.764,08:12:23+00:00,-8,45,161,13.949999999999989,101.8
1716019943820096000,64,17.254901960784316,43,34,4351.75,5505.86357,2.5938022895,5.714991964,3.3010610256154456,46.74983866666667,23.476438166666668,378.6,203.59,68.967,08:12:24+00:00,-2,-2,118,13.949999999999989,101.8
1716019944029945000,68,17.254901960784316,43,34,4351.75,5509.827384,2.6853034801,5.714521026955137,3.1068809655706837,46.74983866666667,23.476438166666668,378.6,203.59,68.967,08:12:24+00:00,-8,-12,134,13.949999999999989,101.8
1716019944270894000,68,17.254901960784316,22,34,4351.75,5514.378643,2.6853034801,5.713336499160714,0,46.74983866666667,23.476438166666668,378.6,203.59,68.967,08:12:24+00:00,1,-11,131,13.949999999999989,101.8
1716019944510138000,68,17.254901960784316,22,34,4159.75,5518.897696,2.6853034801,5.7121608390724825,0,46.74983866666667,23.476438166666668,378.6,203.59,68.967,08:12:24+00:00,-5,-16,126,13.949999999999989,101.8
1716019944510138000,68,17.254901960784316,22,34,4159.75,5518.897696,2.6853034801,5.7121608390724825,0,46.74983866666667,23.476438166666668,378.6,203.59,68.967,08:12:24+00:00,-2,-22,122,13.949999999999989,101.8
